Italian, English
che,that
di,of
no,No
a,to
la,the
è,is
e,and
in,in
lo,it
un,a
per,for
che,that
io,I
una,a
tu,you
con,with
mi,my
è,this
sì,Yeah
bene,good
ma,but
io,I
questo,this
le,the
suo,his/her
tuo,your
qui,here
del,of the
al,to the
come,as
lui,he
sono,are
cosa,thing
sto,I'm
posso,I can
come,as
voglio,want
solo,only
sono,I am
anche,also
tua,your
tanto,so much
cosa,thing
faccio,I do
più,more
questo,this
già,already
tutto,all
qui,here
molto,very
ora,now
qualcosa,something
sto,I'm
te,you
loro,they
quando,when
stato,was
sì,Yes
loro,they
siamo,we are
posso,I can
giorno,day
dove,where
cosa,thing
dire,say
uno,one
sempre,always
oh,Oh
vai,go
anche,also
cosa,thing
vedere,see
famiglia,family
così,so
cosa,thing
hanno,they have
oggi,today
proprio,own
quale,which
volta,time
ha,has
così,so
essere,be
lavoro,job
gente,people
guarda,look
andare,go
siamo,we are
niente,nothing
tutto,all
altro,other
volere,want
sembra,seems
noi,we
piccolo,little
casa,house
amico,friend
cosa,thing
aspetto,wait
mio,my
questo,this
donna,woman
bambino,child
tempo,time
vero,true
senza,without
abbiamo,we have
vuole,wants
grazie,thank you
vita,life
solo,alone
così,so
ragazzo,boy
uomo,man
storia,story
ragazza,girl
quasi,almost
dopo,after
grande,big
guardare,watch
parte,part
vedi,see
padre,father
dopo,after
parlare,talk
nuovo,new
tutto,everything
qua,here
mai,never
fino,until
vero,true
pensare,think
fatto,made
lei,she
vorrei,I would like
chiedere,ask
mente,mind
dove,where
vivere,live
parla,speak
momento,moment
da,from
essere,being
sapere,know
sentire,feel
genere,kind
sentire,hear
bello,beautiful
troppo,too much
persona,person
occhio,eye
quanto,how much
prima,before
mai,never
amare,love
davvero,really
trovare,find
domani,tomorrow
capire,understand
forse,perhaps
scusa,excuse me
quanto,how much
cielo,sky
sembrare,seem
stare,stay
problema,problem
caro,dear
aspettare,wait
corpo,body
notte,night
quello,that
potere,power
bene,well
scuola,school
acqua,water
pensiero,thought
capo,chief
fatto,fact
gioco,game
giorno,day
solo,only
senso,sense
famiglia,family
paura,fear
spero,I hope
aiuto,help
inizio,beginning
piede,foot
dare,give
fine,end
mente,mind
potrebbe,could
tavolo,table
scusate,excuse me
lavorare,work
guardando,looking
vediamo,we see
vedere,see
essere,be
tutti,all
dire,say
ragazze,girls
mio,mine
penso,I think
io,I
aspetto,wait
ti,you
amici,friends
cuore,heart
viaggio,journey
bambini,children
lingua,language
chiedi,ask
voglio,want
speranza,hope
scusa,excuse me
cui,which
dire,say
quattro,four
stesso,same
bisogno,need
momento,moment
sapere,know
guardare,look
così,so
soluzione,solution
felice,happy
creare,create
piedi,feet
volta,time
lontano,far
suo,his/her
domanda,question
uscire,go out
tanto,a lot
vivere,live
aprire,open
parlare,speak
avere,to have
gioco,game
difendere,defend
fede,faith
vecchio,old
abbastanza,enough
venire,come
sorriso,smile
sanno,they know
pensiero,thought
tutto,all
nei,in
essere,be
leggere,read
luogo,place
spero,I hope
potere,power
veramente,truly
primo,first
uomo,man
bisogno,need
lavoro,job
sorridere,smile
piccolo,little
dove,where
incontrare,meet
vedi,see
qui,here
notizia,news
bello,beautiful
incredibile,incredible
senza,without
dove,where
potrebbe,could
credere,believe
vita,life
quello,that
scelta,choice
essere,be
cambiare,change
stare,stay
andato,gone
posso,I can
città,city
ragione,reason
scelte,choices
seguire,follow
vivere,live
dove,where
tornare,come back
sarà,will be
viaggiare,travel
paura,fear
esempio,example
trovare,find
sentire,hear
voglia,want
parola,word
spazio,space
vero,true
scendere,go down
cambiamento,change
aiuto,help
sognare,dream

